=====================================================================
Aufgabe: Aufgabe 2
System start time:  14:12:39
System start date:  18-05-2026
Datum: 18-05-2026
Uhrzeit Aufgaben Abschlus: 14:14:45
Benoetigte Zeit: 102.7842s
Start der Aufgabe nach System Start: 15632.2s
---------------------------------------------------------------------
Heatmap Reloads: 0
Reload Button Zeitpunkte:
---------------------------------------------------------------------
Kamera zurueck zaehler: 0
Camera Back Button Zeitpunkte:
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 15688.75s | TimeSinceTaskStart: 56.55078s | Winkel: 1°
TimeSinceStartUP: 15688.88s | TimeSinceTaskStart: 56.68359s | Winkel: 2°
TimeSinceStartUP: 15689.39s | TimeSinceTaskStart: 57.19238s | Winkel: 0°
TimeSinceStartUP: 15690s | TimeSinceTaskStart: 57.7998s | Winkel: 1°
TimeSinceStartUP: 15690.19s | TimeSinceTaskStart: 57.99316s | Winkel: 2°
TimeSinceStartUP: 15690.37s | TimeSinceTaskStart: 58.16895s | Winkel: 3°
TimeSinceStartUP: 15690.5s | TimeSinceTaskStart: 58.30176s | Winkel: 4°
TimeSinceStartUP: 15690.64s | TimeSinceTaskStart: 58.43457s | Winkel: 5°
TimeSinceStartUP: 15690.85s | TimeSinceTaskStart: 58.65332s | Winkel: 7°
TimeSinceStartUP: 15690.98s | TimeSinceTaskStart: 58.78027s | Winkel: 8°
TimeSinceStartUP: 15691.12s | TimeSinceTaskStart: 58.91895s | Winkel: 9°
TimeSinceStartUP: 15691.27s | TimeSinceTaskStart: 59.06738s | Winkel: 10°
TimeSinceStartUP: 15691.35s | TimeSinceTaskStart: 59.15039s | Winkel: 11°
TimeSinceStartUP: 15691.86s | TimeSinceTaskStart: 59.65918s | Winkel: 12°
TimeSinceStartUP: 15691.99s | TimeSinceTaskStart: 59.78516s | Winkel: 13°
TimeSinceStartUP: 15692.21s | TimeSinceTaskStart: 60.00391s | Winkel: 15°
TimeSinceStartUP: 15692.33s | TimeSinceTaskStart: 60.13379s | Winkel: 17°
TimeSinceStartUP: 15692.47s | TimeSinceTaskStart: 60.26758s | Winkel: 19°
TimeSinceStartUP: 15692.58s | TimeSinceTaskStart: 60.38184s | Winkel: 20°
TimeSinceStartUP: 15692.7s | TimeSinceTaskStart: 60.49609s | Winkel: 23°
TimeSinceStartUP: 15692.81s | TimeSinceTaskStart: 60.61035s | Winkel: 26°
TimeSinceStartUP: 15692.93s | TimeSinceTaskStart: 60.72461s | Winkel: 28°
TimeSinceStartUP: 15693.04s | TimeSinceTaskStart: 60.83984s | Winkel: 30°
TimeSinceStartUP: 15693.16s | TimeSinceTaskStart: 60.9541s | Winkel: 31°
TimeSinceStartUP: 15693.17s | TimeSinceTaskStart: 60.96777s | Winkel: 32°
TimeSinceStartUP: 15693.39s | TimeSinceTaskStart: 61.18457s | Winkel: 33°
TimeSinceStartUP: 15693.52s | TimeSinceTaskStart: 61.31934s | Winkel: 34°
TimeSinceStartUP: 15693.67s | TimeSinceTaskStart: 61.4707s | Winkel: 35°
TimeSinceStartUP: 15693.82s | TimeSinceTaskStart: 61.61719s | Winkel: 36°
TimeSinceStartUP: 15693.93s | TimeSinceTaskStart: 61.73242s | Winkel: 37°
TimeSinceStartUP: 15694.05s | TimeSinceTaskStart: 61.84961s | Winkel: 38°
TimeSinceStartUP: 15694.17s | TimeSinceTaskStart: 61.96387s | Winkel: 39°
TimeSinceStartUP: 15694.28s | TimeSinceTaskStart: 62.07715s | Winkel: 40°
TimeSinceStartUP: 15694.39s | TimeSinceTaskStart: 62.19141s | Winkel: 45°
TimeSinceStartUP: 15694.51s | TimeSinceTaskStart: 62.30566s | Winkel: 50°
TimeSinceStartUP: 15694.7s | TimeSinceTaskStart: 62.50098s | Winkel: 52°
TimeSinceStartUP: 15694.82s | TimeSinceTaskStart: 62.61621s | Winkel: 55°
TimeSinceStartUP: 15694.93s | TimeSinceTaskStart: 62.73047s | Winkel: 56°
TimeSinceStartUP: 15695.05s | TimeSinceTaskStart: 62.84473s | Winkel: 57°
TimeSinceStartUP: 15695.07s | TimeSinceTaskStart: 62.86914s | Winkel: 58°
TimeSinceStartUP: 15695.38s | TimeSinceTaskStart: 63.17383s | Winkel: 59°
TimeSinceStartUP: 15695.55s | TimeSinceTaskStart: 63.34766s | Winkel: 60°
TimeSinceStartUP: 15695.72s | TimeSinceTaskStart: 63.52148s | Winkel: 62°
TimeSinceStartUP: 15695.84s | TimeSinceTaskStart: 63.63574s | Winkel: 63°
TimeSinceStartUP: 15695.95s | TimeSinceTaskStart: 63.74902s | Winkel: 65°
TimeSinceStartUP: 15696.06s | TimeSinceTaskStart: 63.86328s | Winkel: 66°
TimeSinceStartUP: 15696.12s | TimeSinceTaskStart: 63.92285s | Winkel: 69°
TimeSinceStartUP: 15696.24s | TimeSinceTaskStart: 64.03809s | Winkel: 70°
TimeSinceStartUP: 15696.29s | TimeSinceTaskStart: 64.08789s | Winkel: 72°
TimeSinceStartUP: 15696.45s | TimeSinceTaskStart: 64.25098s | Winkel: 73°
TimeSinceStartUP: 15696.6s | TimeSinceTaskStart: 64.40039s | Winkel: 74°
