Aufgaben Daten
=====================================================================
Aufgabe: Aufgabe 1
System start time:  15:13:26
System start date:  18-05-2026
Datum: 18-05-2026
Uhrzeit Aufgaben Abschlus: 15:20:36
Benoetigte Zeit: 412.3751s
Start der Aufgabe nach System Start: 892.2275s
---------------------------------------------------------------------
Heatmap Reloads: 8
Reload Button Zeitpunkte:
Reload Button Press Number0: Triggerd(TimeSinceStartUP): 908.1627s | TimeSinceTaskStart: 15.93524s
Reload Button Press Number1: Triggerd(TimeSinceStartUP): 910.0998s | TimeSinceTaskStart: 17.87231s
Reload Button Press Number2: Triggerd(TimeSinceStartUP): 914.532s | TimeSinceTaskStart: 22.3045s
Reload Button Press Number3: Triggerd(TimeSinceStartUP): 916.4722s | TimeSinceTaskStart: 24.24475s
Reload Button Press Number4: Triggerd(TimeSinceStartUP): 918.4853s | TimeSinceTaskStart: 26.25781s
Reload Button Press Number5: Triggerd(TimeSinceStartUP): 1073.196s | TimeSinceTaskStart: 180.9688s
Reload Button Press Number6: Triggerd(TimeSinceStartUP): 1078.6s | TimeSinceTaskStart: 186.3723s
Reload Button Press Number7: Triggerd(TimeSinceStartUP): 1080.552s | TimeSinceTaskStart: 188.3244s
---------------------------------------------------------------------
Kamera zurueck zaehler: 2
Camera Back Button Zeitpunkte:
Back Button Press Number 0: Triggerd(TimeSinceStartUP): 899.1586s | TimeSinceTaskStart: 6.931091s
Back Button Press Number 1: Triggerd(TimeSinceStartUP): 921.6591s | TimeSinceTaskStart: 29.43158s
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 892.2927s | TimeSinceTaskStart: 0.06518555s | Winkel: 25°
TimeSinceStartUP: 892.3419s | TimeSinceTaskStart: 0.1144409s | Winkel: 24°
TimeSinceStartUP: 892.3922s | TimeSinceTaskStart: 0.1647339s | Winkel: 25°
TimeSinceStartUP: 892.6084s | TimeSinceTaskStart: 0.3809204s | Winkel: 24°
TimeSinceStartUP: 892.6757s | TimeSinceTaskStart: 0.4481812s | Winkel: 25°
TimeSinceStartUP: 894.0588s | TimeSinceTaskStart: 1.831299s | Winkel: 24°
TimeSinceStartUP: 894.1757s | TimeSinceTaskStart: 1.948181s | Winkel: 25°
TimeSinceStartUP: 895.4252s | TimeSinceTaskStart: 3.197754s | Winkel: 24°
TimeSinceStartUP: 895.4921s | TimeSinceTaskStart: 3.264648s | Winkel: 25°
TimeSinceStartUP: 895.5088s | TimeSinceTaskStart: 3.281311s | Winkel: 24°
TimeSinceStartUP: 895.5588s | TimeSinceTaskStart: 3.331299s | Winkel: 25°
TimeSinceStartUP: 895.9086s | TimeSinceTaskStart: 3.681091s | Winkel: 24°
TimeSinceStartUP: 895.9417s | TimeSinceTaskStart: 3.714172s | Winkel: 25°
TimeSinceStartUP: 896.4258s | TimeSinceTaskStart: 4.198303s | Winkel: 24°
TimeSinceStartUP: 896.4591s | TimeSinceTaskStart: 4.231628s | Winkel: 25°
TimeSinceStartUP: 896.7261s | TimeSinceTaskStart: 4.498596s | Winkel: 24°
TimeSinceStartUP: 896.742s | TimeSinceTaskStart: 4.514526s | Winkel: 25°
TimeSinceStartUP: 896.842s | TimeSinceTaskStart: 4.614563s | Winkel: 24°
TimeSinceStartUP: 896.9257s | TimeSinceTaskStart: 4.698242s | Winkel: 25°
