Aufgaben Daten
=====================================================================
Aufgabe: Aufgabe 2
System start time:  16:44:51
System start date:  20-05-2026
Datum: 20-05-2026
Uhrzeit Aufgaben Abschlus: 16:52:00
Benoetigte Zeit: 402.439s
Start der Aufgabe nach System Start: 470.9965s
---------------------------------------------------------------------
Heatmap Reloads: 6
Reload Button Zeitpunkte:
Reload Button Press Number0: Triggerd(TimeSinceStartUP): 490.2209s | TimeSinceTaskStart: 19.2244s
Reload Button Press Number1: Triggerd(TimeSinceStartUP): 552.5107s | TimeSinceTaskStart: 81.51425s
Reload Button Press Number2: Triggerd(TimeSinceStartUP): 586.2068s | TimeSinceTaskStart: 115.2104s
Reload Button Press Number3: Triggerd(TimeSinceStartUP): 639.8478s | TimeSinceTaskStart: 168.8513s
Reload Button Press Number4: Triggerd(TimeSinceStartUP): 791.1061s | TimeSinceTaskStart: 320.1096s
Reload Button Press Number5: Triggerd(TimeSinceStartUP): 867.4962s | TimeSinceTaskStart: 396.4997s
---------------------------------------------------------------------
Kamera zurueck zaehler: 0
Camera Back Button Zeitpunkte:
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 555.4119s | TimeSinceTaskStart: 84.41537s | Winkel: 7°
TimeSinceStartUP: 555.6985s | TimeSinceTaskStart: 84.702s | Winkel: 9°
TimeSinceStartUP: 555.7712s | TimeSinceTaskStart: 84.77475s | Winkel: 12°
TimeSinceStartUP: 556.0753s | TimeSinceTaskStart: 85.07877s | Winkel: 13°
TimeSinceStartUP: 556.1552s | TimeSinceTaskStart: 85.15866s | Winkel: 16°
TimeSinceStartUP: 556.2216s | TimeSinceTaskStart: 85.22507s | Winkel: 17°
TimeSinceStartUP: 556.2314s | TimeSinceTaskStart: 85.23489s | Winkel: 18°
TimeSinceStartUP: 556.3209s | TimeSinceTaskStart: 85.32443s | Winkel: 20°
TimeSinceStartUP: 556.3972s | TimeSinceTaskStart: 85.40073s | Winkel: 22°
TimeSinceStartUP: 556.4733s | TimeSinceTaskStart: 85.47684s | Winkel: 24°
TimeSinceStartUP: 556.5491s | TimeSinceTaskStart: 85.55264s | Winkel: 27°
TimeSinceStartUP: 556.6459s | TimeSinceTaskStart: 85.64944s | Winkel: 29°
TimeSinceStartUP: 556.718s | TimeSinceTaskStart: 85.72147s | Winkel: 31°
TimeSinceStartUP: 556.7938s | TimeSinceTaskStart: 85.79727s | Winkel: 32°
TimeSinceStartUP: 556.8345s | TimeSinceTaskStart: 85.83798s | Winkel: 34°
TimeSinceStartUP: 556.9144s | TimeSinceTaskStart: 85.91794s | Winkel: 36°
TimeSinceStartUP: 556.9907s | TimeSinceTaskStart: 85.99423s | Winkel: 38°
TimeSinceStartUP: 557.0663s | TimeSinceTaskStart: 86.06985s | Winkel: 40°
