Aufgaben Daten
=====================================================================
Aufgabe: Aufgabe 1
System start time:  19:25:28
System start date:  21-05-2026
Datum: 21-05-2026
Uhrzeit Aufgaben Abschlus: 19:33:58
Benoetigte Zeit: 449.4286s
Start der Aufgabe nach System Start: 355.2633s
---------------------------------------------------------------------
Heatmap Reloads: 7
Reload Button Zeitpunkte:
Reload Button Press Number0: Triggerd(TimeSinceStartUP): 368.346s | TimeSinceTaskStart: 13.08267s
Reload Button Press Number1: Triggerd(TimeSinceStartUP): 393.3705s | TimeSinceTaskStart: 38.10721s
Reload Button Press Number2: Triggerd(TimeSinceStartUP): 426.3703s | TimeSinceTaskStart: 71.10699s
Reload Button Press Number3: Triggerd(TimeSinceStartUP): 576.2173s | TimeSinceTaskStart: 220.954s
Reload Button Press Number4: Triggerd(TimeSinceStartUP): 621.3395s | TimeSinceTaskStart: 266.0762s
Reload Button Press Number5: Triggerd(TimeSinceStartUP): 631.9355s | TimeSinceTaskStart: 276.6722s
Reload Button Press Number6: Triggerd(TimeSinceStartUP): 770.4163s | TimeSinceTaskStart: 415.153s
---------------------------------------------------------------------
Kamera zurueck zaehler: 1
Camera Back Button Zeitpunkte:
Back Button Press Number 0: Triggerd(TimeSinceStartUP): 568.4826s | TimeSinceTaskStart: 213.2193s
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 432.3093s | TimeSinceTaskStart: 77.04596s | Winkel: 3°
TimeSinceStartUP: 432.4403s | TimeSinceTaskStart: 77.17697s | Winkel: 4°
TimeSinceStartUP: 432.5133s | TimeSinceTaskStart: 77.24997s | Winkel: 7°
TimeSinceStartUP: 432.5266s | TimeSinceTaskStart: 77.26328s | Winkel: 8°
TimeSinceStartUP: 432.6168s | TimeSinceTaskStart: 77.35352s | Winkel: 9°
TimeSinceStartUP: 432.6631s | TimeSinceTaskStart: 77.39981s | Winkel: 10°
TimeSinceStartUP: 432.7403s | TimeSinceTaskStart: 77.47702s | Winkel: 11°
TimeSinceStartUP: 432.8103s | TimeSinceTaskStart: 77.547s | Winkel: 14°
TimeSinceStartUP: 432.8848s | TimeSinceTaskStart: 77.62146s | Winkel: 17°
TimeSinceStartUP: 433.0081s | TimeSinceTaskStart: 77.74478s | Winkel: 18°
TimeSinceStartUP: 433.0979s | TimeSinceTaskStart: 77.83459s | Winkel: 20°
TimeSinceStartUP: 433.1623s | TimeSinceTaskStart: 77.89902s | Winkel: 22°
TimeSinceStartUP: 433.2283s | TimeSinceTaskStart: 77.96503s | Winkel: 26°
TimeSinceStartUP: 433.2954s | TimeSinceTaskStart: 78.0321s | Winkel: 34°
TimeSinceStartUP: 433.3655s | TimeSinceTaskStart: 78.1022s | Winkel: 39°
TimeSinceStartUP: 433.4397s | TimeSinceTaskStart: 78.17642s | Winkel: 42°
TimeSinceStartUP: 433.5148s | TimeSinceTaskStart: 78.25146s | Winkel: 45°
TimeSinceStartUP: 433.6624s | TimeSinceTaskStart: 78.39911s | Winkel: 48°
TimeSinceStartUP: 433.7371s | TimeSinceTaskStart: 78.47382s | Winkel: 55°
TimeSinceStartUP: 433.8131s | TimeSinceTaskStart: 78.5498s | Winkel: 58°
TimeSinceStartUP: 433.889s | TimeSinceTaskStart: 78.6257s | Winkel: 60°
TimeSinceStartUP: 433.9584s | TimeSinceTaskStart: 78.69507s | Winkel: 64°
TimeSinceStartUP: 434.0685s | TimeSinceTaskStart: 78.80521s | Winkel: 65°
TimeSinceStartUP: 462.42s | TimeSinceTaskStart: 107.1567s | Winkel: 89°
TimeSinceStartUP: 462.4295s | TimeSinceTaskStart: 107.1662s | Winkel: 88°
TimeSinceStartUP: 462.6964s | TimeSinceTaskStart: 107.433s | Winkel: 86°
TimeSinceStartUP: 462.7703s | TimeSinceTaskStart: 107.507s | Winkel: 75°
TimeSinceStartUP: 462.836s | TimeSinceTaskStart: 107.5727s | Winkel: 73°
TimeSinceStartUP: 463.2524s | TimeSinceTaskStart: 107.9891s | Winkel: 38°
TimeSinceStartUP: 463.3221s | TimeSinceTaskStart: 108.0588s | Winkel: 37°
TimeSinceStartUP: 463.392s | TimeSinceTaskStart: 108.1287s | Winkel: 43°
TimeSinceStartUP: 463.5645s | TimeSinceTaskStart: 108.3011s | Winkel: 42°
TimeSinceStartUP: 463.7136s | TimeSinceTaskStart: 108.4503s | Winkel: 40°
TimeSinceStartUP: 463.7783s | TimeSinceTaskStart: 108.515s | Winkel: 37°
TimeSinceStartUP: 463.8457s | TimeSinceTaskStart: 108.5824s | Winkel: 32°
TimeSinceStartUP: 463.9119s | TimeSinceTaskStart: 108.6486s | Winkel: 24°
TimeSinceStartUP: 464.0146s | TimeSinceTaskStart: 108.7513s | Winkel: 22°
TimeSinceStartUP: 464.8242s | TimeSinceTaskStart: 109.5609s | Winkel: 21°
TimeSinceStartUP: 464.8943s | TimeSinceTaskStart: 109.631s | Winkel: 18°
TimeSinceStartUP: 464.9706s | TimeSinceTaskStart: 109.7073s | Winkel: 17°
TimeSinceStartUP: 465.0358s | TimeSinceTaskStart: 109.7725s | Winkel: 15°
TimeSinceStartUP: 465.1013s | TimeSinceTaskStart: 109.838s | Winkel: 10°
TimeSinceStartUP: 493.6791s | TimeSinceTaskStart: 138.4158s | Winkel: 21°
TimeSinceStartUP: 493.8234s | TimeSinceTaskStart: 138.5601s | Winkel: 22°
TimeSinceStartUP: 493.8946s | TimeSinceTaskStart: 138.6313s | Winkel: 26°
TimeSinceStartUP: 493.9723s | TimeSinceTaskStart: 138.709s | Winkel: 30°
TimeSinceStartUP: 494.0473s | TimeSinceTaskStart: 138.784s | Winkel: 36°
TimeSinceStartUP: 494.1118s | TimeSinceTaskStart: 138.8485s | Winkel: 39°
TimeSinceStartUP: 494.1778s | TimeSinceTaskStart: 138.9145s | Winkel: 48°
TimeSinceStartUP: 494.2452s | TimeSinceTaskStart: 138.9819s | Winkel: 51°
TimeSinceStartUP: 494.3111s | TimeSinceTaskStart: 139.0478s | Winkel: 54°
TimeSinceStartUP: 494.3773s | TimeSinceTaskStart: 139.114s | Winkel: 59°
TimeSinceStartUP: 494.8745s | TimeSinceTaskStart: 139.6112s | Winkel: 61°
TimeSinceStartUP: 530.1627s | TimeSinceTaskStart: 174.8994s | Winkel: 62°
