Aufgaben Daten
=====================================================================
Aufgabe: Aufgabe 2
System start time:  13:26:01
System start date:  24-04-2026
Datum: 24-04-2026
Uhrzeit Aufgaben Abschlus: 13:33:34
Benoetigte Zeit: 441.5976s
Start der Aufgabe nach System Start: 286.0144s
---------------------------------------------------------------------
Heatmap Reloads: 14
Reload Button Zeitpunkte:
Reload Button Press Number0: Triggerd(TimeSinceStartUP): 299.7562s | TimeSinceTaskStart: 13.74179s
Reload Button Press Number1: Triggerd(TimeSinceStartUP): 307.9818s | TimeSinceTaskStart: 21.96732s
Reload Button Press Number2: Triggerd(TimeSinceStartUP): 318.6628s | TimeSinceTaskStart: 32.64835s
Reload Button Press Number3: Triggerd(TimeSinceStartUP): 325.9196s | TimeSinceTaskStart: 39.90518s
Reload Button Press Number4: Triggerd(TimeSinceStartUP): 342.6679s | TimeSinceTaskStart: 56.65344s
Reload Button Press Number5: Triggerd(TimeSinceStartUP): 350.1394s | TimeSinceTaskStart: 64.125s
Reload Button Press Number6: Triggerd(TimeSinceStartUP): 372.3054s | TimeSinceTaskStart: 86.29099s
Reload Button Press Number7: Triggerd(TimeSinceStartUP): 382.0966s | TimeSinceTaskStart: 96.08221s
Reload Button Press Number8: Triggerd(TimeSinceStartUP): 391.9626s | TimeSinceTaskStart: 105.9482s
Reload Button Press Number9: Triggerd(TimeSinceStartUP): 406.0464s | TimeSinceTaskStart: 120.0319s
Reload Button Press Number10: Triggerd(TimeSinceStartUP): 413.0029s | TimeSinceTaskStart: 126.9885s
Reload Button Press Number11: Triggerd(TimeSinceStartUP): 424.4116s | TimeSinceTaskStart: 138.3972s
Reload Button Press Number12: Triggerd(TimeSinceStartUP): 506.6923s | TimeSinceTaskStart: 220.6779s
Reload Button Press Number13: Triggerd(TimeSinceStartUP): 691.5865s | TimeSinceTaskStart: 405.5721s
---------------------------------------------------------------------
Kamera zurueck zaehler: 1
Camera Back Button Zeitpunkte:
Back Button Press Number 0: Triggerd(TimeSinceStartUP): 327.5573s | TimeSinceTaskStart: 41.54282s
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 436.6892s | TimeSinceTaskStart: 150.6748s | Winkel: 2°
TimeSinceStartUP: 436.7636s | TimeSinceTaskStart: 150.7491s | Winkel: 3°
TimeSinceStartUP: 436.84s | TimeSinceTaskStart: 150.8256s | Winkel: 5°
TimeSinceStartUP: 436.9173s | TimeSinceTaskStart: 150.9029s | Winkel: 8°
TimeSinceStartUP: 436.9845s | TimeSinceTaskStart: 150.97s | Winkel: 9°
TimeSinceStartUP: 437.0533s | TimeSinceTaskStart: 151.0388s | Winkel: 14°
TimeSinceStartUP: 437.1251s | TimeSinceTaskStart: 151.1107s | Winkel: 16°
TimeSinceStartUP: 437.2011s | TimeSinceTaskStart: 151.1866s | Winkel: 23°
TimeSinceStartUP: 437.2687s | TimeSinceTaskStart: 151.2543s | Winkel: 25°
TimeSinceStartUP: 437.335s | TimeSinceTaskStart: 151.3206s | Winkel: 28°
TimeSinceStartUP: 437.402s | TimeSinceTaskStart: 151.3875s | Winkel: 31°
TimeSinceStartUP: 437.4696s | TimeSinceTaskStart: 151.4551s | Winkel: 45°
TimeSinceStartUP: 437.5922s | TimeSinceTaskStart: 151.5778s | Winkel: 48°
TimeSinceStartUP: 437.6683s | TimeSinceTaskStart: 151.6539s | Winkel: 50°
TimeSinceStartUP: 437.7709s | TimeSinceTaskStart: 151.7564s | Winkel: 53°
TimeSinceStartUP: 437.8474s | TimeSinceTaskStart: 151.833s | Winkel: 57°
TimeSinceStartUP: 438.2709s | TimeSinceTaskStart: 152.2565s | Winkel: 59°
TimeSinceStartUP: 438.4236s | TimeSinceTaskStart: 152.4092s | Winkel: 61°
TimeSinceStartUP: 438.5004s | TimeSinceTaskStart: 152.4859s | Winkel: 64°
TimeSinceStartUP: 438.87s | TimeSinceTaskStart: 152.8556s | Winkel: 66°
TimeSinceStartUP: 438.9443s | TimeSinceTaskStart: 152.9298s | Winkel: 69°
TimeSinceStartUP: 440.1335s | TimeSinceTaskStart: 154.119s | Winkel: 67°
TimeSinceStartUP: 440.3494s | TimeSinceTaskStart: 154.3349s | Winkel: 66°
TimeSinceStartUP: 440.7641s | TimeSinceTaskStart: 154.7497s | Winkel: 64°
TimeSinceStartUP: 440.9932s | TimeSinceTaskStart: 154.9788s | Winkel: 63°
TimeSinceStartUP: 441.1894s | TimeSinceTaskStart: 155.1749s | Winkel: 61°
TimeSinceStartUP: 441.8336s | TimeSinceTaskStart: 155.8192s | Winkel: 63°
TimeSinceStartUP: 442.5072s | TimeSinceTaskStart: 156.4928s | Winkel: 61°
TimeSinceStartUP: 442.7093s | TimeSinceTaskStart: 156.6948s | Winkel: 63°
TimeSinceStartUP: 442.7871s | TimeSinceTaskStart: 156.7727s | Winkel: 64°
TimeSinceStartUP: 442.863s | TimeSinceTaskStart: 156.8485s | Winkel: 66°
TimeSinceStartUP: 442.9393s | TimeSinceTaskStart: 156.9249s | Winkel: 69°
TimeSinceStartUP: 442.9425s | TimeSinceTaskStart: 156.9281s | Winkel: 70°
TimeSinceStartUP: 443.0285s | TimeSinceTaskStart: 157.0141s | Winkel: 71°
TimeSinceStartUP: 443.1074s | TimeSinceTaskStart: 157.093s | Winkel: 74°
TimeSinceStartUP: 443.1855s | TimeSinceTaskStart: 157.1711s | Winkel: 75°
TimeSinceStartUP: 460.0286s | TimeSinceTaskStart: 174.0141s | Winkel: 72°
TimeSinceStartUP: 460.106s | TimeSinceTaskStart: 174.0916s | Winkel: 74°
TimeSinceStartUP: 460.1835s | TimeSinceTaskStart: 174.1691s | Winkel: 75°
TimeSinceStartUP: 460.2725s | TimeSinceTaskStart: 174.258s | Winkel: 74°
TimeSinceStartUP: 460.3482s | TimeSinceTaskStart: 174.3338s | Winkel: 69°
TimeSinceStartUP: 460.4176s | TimeSinceTaskStart: 174.4032s | Winkel: 68°
TimeSinceStartUP: 460.4856s | TimeSinceTaskStart: 174.4712s | Winkel: 67°
TimeSinceStartUP: 460.5544s | TimeSinceTaskStart: 174.54s | Winkel: 61°
TimeSinceStartUP: 460.6221s | TimeSinceTaskStart: 174.6077s | Winkel: 40°
TimeSinceStartUP: 460.6894s | TimeSinceTaskStart: 174.675s | Winkel: 29°
TimeSinceStartUP: 460.8008s | TimeSinceTaskStart: 174.7863s | Winkel: 27°
TimeSinceStartUP: 460.8789s | TimeSinceTaskStart: 174.8644s | Winkel: 23°
TimeSinceStartUP: 477.383s | TimeSinceTaskStart: 191.3685s | Winkel: 3°
TimeSinceStartUP: 477.5224s | TimeSinceTaskStart: 191.5079s | Winkel: 2°
TimeSinceStartUP: 477.8421s | TimeSinceTaskStart: 191.8277s | Winkel: 3°
TimeSinceStartUP: 477.9195s | TimeSinceTaskStart: 191.905s | Winkel: 5°
TimeSinceStartUP: 477.9946s | TimeSinceTaskStart: 191.9802s | Winkel: 6°
TimeSinceStartUP: 478.0632s | TimeSinceTaskStart: 192.0488s | Winkel: 8°
TimeSinceStartUP: 478.1317s | TimeSinceTaskStart: 192.1173s | Winkel: 10°
TimeSinceStartUP: 478.1972s | TimeSinceTaskStart: 192.1827s | Winkel: 14°
TimeSinceStartUP: 478.2721s | TimeSinceTaskStart: 192.2577s | Winkel: 16°
TimeSinceStartUP: 478.2985s | TimeSinceTaskStart: 192.2841s | Winkel: 17°
TimeSinceStartUP: 478.4113s | TimeSinceTaskStart: 192.3969s | Winkel: 18°
TimeSinceStartUP: 478.4875s | TimeSinceTaskStart: 192.4731s | Winkel: 21°
TimeSinceStartUP: 478.7168s | TimeSinceTaskStart: 192.7023s | Winkel: 23°
TimeSinceStartUP: 478.8719s | TimeSinceTaskStart: 192.8575s | Winkel: 25°
TimeSinceStartUP: 478.946s | TimeSinceTaskStart: 192.9316s | Winkel: 29°
TimeSinceStartUP: 479.0144s | TimeSinceTaskStart: 193s | Winkel: 32°
