=====================================================================
Aufgabe: Aufgabe 1
System start time:  12:51:31
System start date:  08-05-2026
Datum: 08-05-2026
Uhrzeit Aufgaben Abschlus: 12:58:35
Benoetigte Zeit: 361.2578s
Start der Aufgabe nach System Start: 9443.662s
---------------------------------------------------------------------
Heatmap Reloads: 4
Reload Button Zeitpunkte:
Reload Button Press Number0: Triggerd(TimeSinceStartUP): 9483.013s | TimeSinceTaskStart: 39.35059s
Reload Button Press Number1: Triggerd(TimeSinceStartUP): 9484.962s | TimeSinceTaskStart: 41.2998s
Reload Button Press Number2: Triggerd(TimeSinceStartUP): 9516.914s | TimeSinceTaskStart: 73.25195s
Reload Button Press Number3: Triggerd(TimeSinceStartUP): 9518.885s | TimeSinceTaskStart: 75.22266s
---------------------------------------------------------------------
Kamera zurueck zaehler: 0
Camera Back Button Zeitpunkte:
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 9502.246s | TimeSinceTaskStart: 58.58398s | Winkel: 29°
TimeSinceStartUP: 9502.445s | TimeSinceTaskStart: 58.7832s | Winkel: 28°
TimeSinceStartUP: 9502.565s | TimeSinceTaskStart: 58.90332s | Winkel: 27°
TimeSinceStartUP: 9502.679s | TimeSinceTaskStart: 59.0166s | Winkel: 26°
TimeSinceStartUP: 9502.789s | TimeSinceTaskStart: 59.12695s | Winkel: 25°
TimeSinceStartUP: 9503.546s | TimeSinceTaskStart: 59.88379s | Winkel: 23°
TimeSinceStartUP: 9503.674s | TimeSinceTaskStart: 60.01172s | Winkel: 22°
TimeSinceStartUP: 9503.896s | TimeSinceTaskStart: 60.2334s | Winkel: 21°
TimeSinceStartUP: 9504.096s | TimeSinceTaskStart: 60.43359s | Winkel: 20°
TimeSinceStartUP: 9504.862s | TimeSinceTaskStart: 61.2002s | Winkel: 19°
TimeSinceStartUP: 9505.246s | TimeSinceTaskStart: 61.58398s | Winkel: 18°
TimeSinceStartUP: 9505.529s | TimeSinceTaskStart: 61.86719s | Winkel: 16°
TimeSinceStartUP: 9505.652s | TimeSinceTaskStart: 61.99023s | Winkel: 13°
TimeSinceStartUP: 9505.846s | TimeSinceTaskStart: 62.18359s | Winkel: 10°
TimeSinceStartUP: 9505.955s | TimeSinceTaskStart: 62.29297s | Winkel: 7°
TimeSinceStartUP: 9506.063s | TimeSinceTaskStart: 62.40137s | Winkel: 4°
TimeSinceStartUP: 9506.197s | TimeSinceTaskStart: 62.53516s | Winkel: 1°
TimeSinceStartUP: 9506.496s | TimeSinceTaskStart: 62.83398s | Winkel: 0°
TimeSinceStartUP: 9506.862s | TimeSinceTaskStart: 63.2002s | Winkel: 1°
TimeSinceStartUP: 9507.329s | TimeSinceTaskStart: 63.66699s | Winkel: 0°
TimeSinceStartUP: 9507.479s | TimeSinceTaskStart: 63.81641s | Winkel: 1°
TimeSinceStartUP: 9507.668s | TimeSinceTaskStart: 64.00586s | Winkel: 0°
TimeSinceStartUP: 9507.78s | TimeSinceTaskStart: 64.11816s | Winkel: 1°
TimeSinceStartUP: 9507.889s | TimeSinceTaskStart: 64.22656s | Winkel: 0°
TimeSinceStartUP: 9508s | TimeSinceTaskStart: 64.33789s | Winkel: 1°
TimeSinceStartUP: 9508.108s | TimeSinceTaskStart: 64.44629s | Winkel: 0°
TimeSinceStartUP: 9508.22s | TimeSinceTaskStart: 64.55762s | Winkel: 1°
TimeSinceStartUP: 9509.162s | TimeSinceTaskStart: 65.5s | Winkel: 3°
TimeSinceStartUP: 9509.271s | TimeSinceTaskStart: 65.60938s | Winkel: 10°
TimeSinceStartUP: 9509.945s | TimeSinceTaskStart: 66.2832s | Winkel: 16°
TimeSinceStartUP: 9510.512s | TimeSinceTaskStart: 66.84961s | Winkel: 19°
TimeSinceStartUP: 9511.251s | TimeSinceTaskStart: 67.58887s | Winkel: 20°
TimeSinceStartUP: 9511.484s | TimeSinceTaskStart: 67.82227s | Winkel: 29°
TimeSinceStartUP: 9511.604s | TimeSinceTaskStart: 67.94238s | Winkel: 33°
TimeSinceStartUP: 9511.793s | TimeSinceTaskStart: 68.13086s | Winkel: 52°
TimeSinceStartUP: 9511.904s | TimeSinceTaskStart: 68.24219s | Winkel: 54°
TimeSinceStartUP: 9512.092s | TimeSinceTaskStart: 68.42969s | Winkel: 55°
TimeSinceStartUP: 9512.229s | TimeSinceTaskStart: 68.56641s | Winkel: 58°
TimeSinceStartUP: 9512.351s | TimeSinceTaskStart: 68.68848s | Winkel: 59°
TimeSinceStartUP: 9512.461s | TimeSinceTaskStart: 68.79883s | Winkel: 60°
TimeSinceStartUP: 9512.569s | TimeSinceTaskStart: 68.90723s | Winkel: 62°
TimeSinceStartUP: 9513.612s | TimeSinceTaskStart: 69.9502s | Winkel: 61°
TimeSinceStartUP: 9513.629s | TimeSinceTaskStart: 69.9668s | Winkel: 62°
TimeSinceStartUP: 9513.695s | TimeSinceTaskStart: 70.0332s | Winkel: 61°
TimeSinceStartUP: 9513.746s | TimeSinceTaskStart: 70.08398s | Winkel: 62°
TimeSinceStartUP: 9513.862s | TimeSinceTaskStart: 70.2002s | Winkel: 61°
TimeSinceStartUP: 9513.929s | TimeSinceTaskStart: 70.2666s | Winkel: 62°
TimeSinceStartUP: 9514.646s | TimeSinceTaskStart: 70.98438s | Winkel: 61°
TimeSinceStartUP: 9514.696s | TimeSinceTaskStart: 71.03418s | Winkel: 62°
TimeSinceStartUP: 9518.89s | TimeSinceTaskStart: 75.22754s | Winkel: 61°
TimeSinceStartUP: 9518.951s | TimeSinceTaskStart: 75.28906s | Winkel: 62°
TimeSinceStartUP: 9519.112s | TimeSinceTaskStart: 75.4502s | Winkel: 61°
TimeSinceStartUP: 9519.179s | TimeSinceTaskStart: 75.5166s | Winkel: 62°
TimeSinceStartUP: 9519.329s | TimeSinceTaskStart: 75.66699s | Winkel: 61°
TimeSinceStartUP: 9519.346s | TimeSinceTaskStart: 75.68359s | Winkel: 62°
TimeSinceStartUP: 9519.579s | TimeSinceTaskStart: 75.91699s | Winkel: 61°
TimeSinceStartUP: 9519.663s | TimeSinceTaskStart: 76.00098s | Winkel: 60°
TimeSinceStartUP: 9519.786s | TimeSinceTaskStart: 76.12402s | Winkel: 59°
TimeSinceStartUP: 9519.929s | TimeSinceTaskStart: 76.2666s | Winkel: 58°
TimeSinceStartUP: 9520.052s | TimeSinceTaskStart: 76.38965s | Winkel: 55°
TimeSinceStartUP: 9520.162s | TimeSinceTaskStart: 76.5s | Winkel: 51°
TimeSinceStartUP: 9520.445s | TimeSinceTaskStart: 76.7832s | Winkel: 50°
TimeSinceStartUP: 9520.758s | TimeSinceTaskStart: 77.0957s | Winkel: 49°
TimeSinceStartUP: 9521.379s | TimeSinceTaskStart: 77.7168s | Winkel: 48°
TimeSinceStartUP: 9522.896s | TimeSinceTaskStart: 79.23438s | Winkel: 47°
TimeSinceStartUP: 9524.579s | TimeSinceTaskStart: 80.91699s | Winkel: 48°
TimeSinceStartUP: 9524.694s | TimeSinceTaskStart: 81.03223s | Winkel: 47°
TimeSinceStartUP: 9525.712s | TimeSinceTaskStart: 82.0498s | Winkel: 48°
TimeSinceStartUP: 9525.822s | TimeSinceTaskStart: 82.16016s | Winkel: 47°
TimeSinceStartUP: 9526.063s | TimeSinceTaskStart: 82.40039s | Winkel: 48°
TimeSinceStartUP: 9526.191s | TimeSinceTaskStart: 82.5293s | Winkel: 47°
TimeSinceStartUP: 9526.712s | TimeSinceTaskStart: 83.0498s | Winkel: 48°
TimeSinceStartUP: 9526.837s | TimeSinceTaskStart: 83.1748s | Winkel: 47°
TimeSinceStartUP: 9527.862s | TimeSinceTaskStart: 84.2002s | Winkel: 48°
TimeSinceStartUP: 9528.028s | TimeSinceTaskStart: 84.36621s | Winkel: 47°
TimeSinceStartUP: 9530.047s | TimeSinceTaskStart: 86.38477s | Winkel: 48°
TimeSinceStartUP: 9530.174s | TimeSinceTaskStart: 86.51172s | Winkel: 47°
TimeSinceStartUP: 9530.296s | TimeSinceTaskStart: 86.63379s | Winkel: 48°
TimeSinceStartUP: 9530.403s | TimeSinceTaskStart: 86.74121s | Winkel: 47°
TimeSinceStartUP: 9530.762s | TimeSinceTaskStart: 87.09961s | Winkel: 48°
TimeSinceStartUP: 9530.873s | TimeSinceTaskStart: 87.21094s | Winkel: 47°
TimeSinceStartUP: 9531.513s | TimeSinceTaskStart: 87.85059s | Winkel: 48°
TimeSinceStartUP: 9531.638s | TimeSinceTaskStart: 87.97559s | Winkel: 47°
TimeSinceStartUP: 9531.946s | TimeSinceTaskStart: 88.28418s | Winkel: 48°
TimeSinceStartUP: 9532.081s | TimeSinceTaskStart: 88.41895s | Winkel: 47°
TimeSinceStartUP: 9533.363s | TimeSinceTaskStart: 89.70117s | Winkel: 48°
TimeSinceStartUP: 9533.492s | TimeSinceTaskStart: 89.83008s | Winkel: 47°
TimeSinceStartUP: 9535.453s | TimeSinceTaskStart: 91.79102s | Winkel: 48°
TimeSinceStartUP: 9535.563s | TimeSinceTaskStart: 91.90039s | Winkel: 47°
TimeSinceStartUP: 9536.646s | TimeSinceTaskStart: 92.98438s | Winkel: 48°
TimeSinceStartUP: 9536.771s | TimeSinceTaskStart: 93.10938s | Winkel: 47°
TimeSinceStartUP: 9537.013s | TimeSinceTaskStart: 93.35059s | Winkel: 48°
TimeSinceStartUP: 9537.136s | TimeSinceTaskStart: 93.47363s | Winkel: 47°
TimeSinceStartUP: 9537.58s | TimeSinceTaskStart: 93.91797s | Winkel: 48°
TimeSinceStartUP: 9537.709s | TimeSinceTaskStart: 94.04688s | Winkel: 47°
TimeSinceStartUP: 9537.929s | TimeSinceTaskStart: 94.2666s | Winkel: 48°
TimeSinceStartUP: 9538.097s | TimeSinceTaskStart: 94.43457s | Winkel: 47°
TimeSinceStartUP: 9538.579s | TimeSinceTaskStart: 94.91699s | Winkel: 48°
TimeSinceStartUP: 9538.663s | TimeSinceTaskStart: 95.00098s | Winkel: 47°
TimeSinceStartUP: 9539.262s | TimeSinceTaskStart: 95.59961s | Winkel: 48°
TimeSinceStartUP: 9539.369s | TimeSinceTaskStart: 95.70703s | Winkel: 47°
TimeSinceStartUP: 9540.112s | TimeSinceTaskStart: 96.4502s | Winkel: 48°
TimeSinceStartUP: 9540.486s | TimeSinceTaskStart: 96.82422s | Winkel: 47°
TimeSinceStartUP: 9540.88s | TimeSinceTaskStart: 97.21777s | Winkel: 48°
TimeSinceStartUP: 9541.179s | TimeSinceTaskStart: 97.5166s | Winkel: 47°
TimeSinceStartUP: 9541.963s | TimeSinceTaskStart: 98.30078s | Winkel: 48°
TimeSinceStartUP: 9542.201s | TimeSinceTaskStart: 98.53906s | Winkel: 47°
TimeSinceStartUP: 9542.387s | TimeSinceTaskStart: 98.72461s | Winkel: 48°
TimeSinceStartUP: 9542.546s | TimeSinceTaskStart: 98.88379s | Winkel: 47°
TimeSinceStartUP: 9542.779s | TimeSinceTaskStart: 99.11719s | Winkel: 48°
TimeSinceStartUP: 9542.899s | TimeSinceTaskStart: 99.2373s | Winkel: 47°
TimeSinceStartUP: 9543.008s | TimeSinceTaskStart: 99.3457s | Winkel: 48°
TimeSinceStartUP: 9543.126s | TimeSinceTaskStart: 99.46387s | Winkel: 47°
TimeSinceStartUP: 9543.296s | TimeSinceTaskStart: 99.63379s | Winkel: 48°
TimeSinceStartUP: 9543.429s | TimeSinceTaskStart: 99.7666s | Winkel: 47°
TimeSinceStartUP: 9544.096s | TimeSinceTaskStart: 100.4336s | Winkel: 48°
TimeSinceStartUP: 9544.22s | TimeSinceTaskStart: 100.5576s | Winkel: 47°
TimeSinceStartUP: 9544.579s | TimeSinceTaskStart: 100.917s | Winkel: 48°
TimeSinceStartUP: 9544.713s | TimeSinceTaskStart: 101.0508s | Winkel: 47°
TimeSinceStartUP: 9545.912s | TimeSinceTaskStart: 102.25s | Winkel: 48°
TimeSinceStartUP: 9546.039s | TimeSinceTaskStart: 102.377s | Winkel: 47°
TimeSinceStartUP: 9546.429s | TimeSinceTaskStart: 102.7666s | Winkel: 48°
TimeSinceStartUP: 9546.537s | TimeSinceTaskStart: 102.875s | Winkel: 47°
TimeSinceStartUP: 9547.245s | TimeSinceTaskStart: 103.583s | Winkel: 48°
TimeSinceStartUP: 9547.354s | TimeSinceTaskStart: 103.6914s | Winkel: 47°
TimeSinceStartUP: 9547.962s | TimeSinceTaskStart: 104.2998s | Winkel: 48°
TimeSinceStartUP: 9548.072s | TimeSinceTaskStart: 104.4102s | Winkel: 47°
TimeSinceStartUP: 9549.313s | TimeSinceTaskStart: 105.6504s | Winkel: 48°
TimeSinceStartUP: 9549.496s | TimeSinceTaskStart: 105.834s | Winkel: 47°
TimeSinceStartUP: 9549.729s | TimeSinceTaskStart: 106.0674s | Winkel: 48°
TimeSinceStartUP: 9549.855s | TimeSinceTaskStart: 106.1934s | Winkel: 47°
TimeSinceStartUP: 9549.979s | TimeSinceTaskStart: 106.3174s | Winkel: 48°
TimeSinceStartUP: 9550.087s | TimeSinceTaskStart: 106.4248s | Winkel: 47°
TimeSinceStartUP: 9550.263s | TimeSinceTaskStart: 106.6006s | Winkel: 48°
TimeSinceStartUP: 9550.392s | TimeSinceTaskStart: 106.7295s | Winkel: 47°
TimeSinceStartUP: 9550.5s | TimeSinceTaskStart: 106.8379s | Winkel: 48°
TimeSinceStartUP: 9550.61s | TimeSinceTaskStart: 106.9482s | Winkel: 47°
TimeSinceStartUP: 9551.196s | TimeSinceTaskStart: 107.5342s | Winkel: 48°
TimeSinceStartUP: 9551.325s | TimeSinceTaskStart: 107.6631s | Winkel: 47°
TimeSinceStartUP: 9551.435s | TimeSinceTaskStart: 107.7725s | Winkel: 48°
TimeSinceStartUP: 9551.544s | TimeSinceTaskStart: 107.8818s | Winkel: 47°
TimeSinceStartUP: 9552.046s | TimeSinceTaskStart: 108.3838s | Winkel: 48°
TimeSinceStartUP: 9552.172s | TimeSinceTaskStart: 108.5098s | Winkel: 47°
TimeSinceStartUP: 9552.624s | TimeSinceTaskStart: 108.9619s | Winkel: 48°
