=====================================================================
Aufgabe: Aufgabe 1
System start time:  13:09:43
System start date:  11-05-2026
Datum: 11-05-2026
Uhrzeit Aufgaben Abschlus: 13:16:10
Benoetigte Zeit: 358.2783s
Start der Aufgabe nach System Start: 6423.536s
---------------------------------------------------------------------
Heatmap Reloads: 5
Reload Button Zeitpunkte:
Reload Button Press Number0: Triggerd(TimeSinceStartUP): 6530.751s | TimeSinceTaskStart: 107.2153s
Reload Button Press Number1: Triggerd(TimeSinceStartUP): 6532.718s | TimeSinceTaskStart: 109.1821s
Reload Button Press Number2: Triggerd(TimeSinceStartUP): 6740.621s | TimeSinceTaskStart: 317.085s
Reload Button Press Number3: Triggerd(TimeSinceStartUP): 6742.557s | TimeSinceTaskStart: 319.021s
Reload Button Press Number4: Triggerd(TimeSinceStartUP): 6781.813s | TimeSinceTaskStart: 358.2764s
---------------------------------------------------------------------
Kamera zurueck zaehler: 0
Camera Back Button Zeitpunkte:
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 6448.902s | TimeSinceTaskStart: 25.36572s | Winkel: 37°
TimeSinceStartUP: 6448.936s | TimeSinceTaskStart: 25.39941s | Winkel: 38°
TimeSinceStartUP: 6448.968s | TimeSinceTaskStart: 25.43213s | Winkel: 37°
TimeSinceStartUP: 6449.019s | TimeSinceTaskStart: 25.48242s | Winkel: 38°
TimeSinceStartUP: 6449.102s | TimeSinceTaskStart: 25.56543s | Winkel: 37°
TimeSinceStartUP: 6449.185s | TimeSinceTaskStart: 25.64893s | Winkel: 38°
TimeSinceStartUP: 6449.302s | TimeSinceTaskStart: 25.76563s | Winkel: 37°
TimeSinceStartUP: 6449.335s | TimeSinceTaskStart: 25.79932s | Winkel: 38°
TimeSinceStartUP: 6450.103s | TimeSinceTaskStart: 26.56641s | Winkel: 37°
TimeSinceStartUP: 6450.136s | TimeSinceTaskStart: 26.6001s | Winkel: 38°
TimeSinceStartUP: 6476.543s | TimeSinceTaskStart: 53.00732s | Winkel: 41°
TimeSinceStartUP: 6476.652s | TimeSinceTaskStart: 53.11621s | Winkel: 49°
TimeSinceStartUP: 6476.764s | TimeSinceTaskStart: 53.22754s | Winkel: 51°
TimeSinceStartUP: 6479.619s | TimeSinceTaskStart: 56.08252s | Winkel: 52°
TimeSinceStartUP: 6479.729s | TimeSinceTaskStart: 56.19287s | Winkel: 54°
TimeSinceStartUP: 6480.202s | TimeSinceTaskStart: 56.66553s | Winkel: 52°
