Aufgaben Daten
=====================================================================
Aufgabe: Aufgabe 1
System start time:  13:17:51
System start date:  13-05-2026
Datum: 13-05-2026
Uhrzeit Aufgaben Abschlus: 13:26:56
Benoetigte Zeit: 521.4165s
Start der Aufgabe nach System Start: 7323.026s
---------------------------------------------------------------------
Heatmap Reloads: 0
Reload Button Zeitpunkte:
---------------------------------------------------------------------
Kamera zurueck zaehler: 0
Camera Back Button Zeitpunkte:
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 7390.225s | TimeSinceTaskStart: 67.19824s | Winkel: 3°
TimeSinceStartUP: 7390.34s | TimeSinceTaskStart: 67.31396s | Winkel: 6°
TimeSinceStartUP: 7390.454s | TimeSinceTaskStart: 67.42773s | Winkel: 27°
TimeSinceStartUP: 7390.648s | TimeSinceTaskStart: 67.62158s | Winkel: 43°
TimeSinceStartUP: 7390.761s | TimeSinceTaskStart: 67.73438s | Winkel: 56°
TimeSinceStartUP: 7390.873s | TimeSinceTaskStart: 67.84619s | Winkel: 59°
TimeSinceStartUP: 7390.985s | TimeSinceTaskStart: 67.9585s | Winkel: 64°
TimeSinceStartUP: 7391.098s | TimeSinceTaskStart: 68.07129s | Winkel: 65°
TimeSinceStartUP: 7391.909s | TimeSinceTaskStart: 68.88232s | Winkel: 66°
TimeSinceStartUP: 7392.357s | TimeSinceTaskStart: 69.33105s | Winkel: 65°
TimeSinceStartUP: 7392.392s | TimeSinceTaskStart: 69.36523s | Winkel: 64°
TimeSinceStartUP: 7392.925s | TimeSinceTaskStart: 69.89844s | Winkel: 37°
TimeSinceStartUP: 7393.14s | TimeSinceTaskStart: 70.11377s | Winkel: 35°
TimeSinceStartUP: 7393.254s | TimeSinceTaskStart: 70.22754s | Winkel: 21°
TimeSinceStartUP: 7393.364s | TimeSinceTaskStart: 70.33789s | Winkel: 15°
TimeSinceStartUP: 7393.485s | TimeSinceTaskStart: 70.4585s | Winkel: 12°
TimeSinceStartUP: 7393.598s | TimeSinceTaskStart: 70.57129s | Winkel: 9°
TimeSinceStartUP: 7393.71s | TimeSinceTaskStart: 70.68408s | Winkel: 6°
TimeSinceStartUP: 7393.822s | TimeSinceTaskStart: 70.79541s | Winkel: 4°
TimeSinceStartUP: 7393.935s | TimeSinceTaskStart: 70.9082s | Winkel: 2°
TimeSinceStartUP: 7394.047s | TimeSinceTaskStart: 71.021s | Winkel: 0°
TimeSinceStartUP: 7395.075s | TimeSinceTaskStart: 72.04834s | Winkel: 9°
TimeSinceStartUP: 7395.188s | TimeSinceTaskStart: 72.16113s | Winkel: 12°
TimeSinceStartUP: 7395.3s | TimeSinceTaskStart: 72.27393s | Winkel: 41°
TimeSinceStartUP: 7395.413s | TimeSinceTaskStart: 72.38623s | Winkel: 68°
TimeSinceStartUP: 7395.523s | TimeSinceTaskStart: 72.49658s | Winkel: 84°
TimeSinceStartUP: 7395.635s | TimeSinceTaskStart: 72.6084s | Winkel: 90°
TimeSinceStartUP: 7396.625s | TimeSinceTaskStart: 73.59912s | Winkel: 89°
TimeSinceStartUP: 7396.74s | TimeSinceTaskStart: 73.71338s | Winkel: 87°
TimeSinceStartUP: 7396.853s | TimeSinceTaskStart: 73.82617s | Winkel: 73°
TimeSinceStartUP: 7396.965s | TimeSinceTaskStart: 73.93896s | Winkel: 61°
TimeSinceStartUP: 7397.078s | TimeSinceTaskStart: 74.05127s | Winkel: 55°
TimeSinceStartUP: 7397.189s | TimeSinceTaskStart: 74.16309s | Winkel: 50°
TimeSinceStartUP: 7397.301s | TimeSinceTaskStart: 74.2749s | Winkel: 46°
TimeSinceStartUP: 7397.428s | TimeSinceTaskStart: 74.40137s | Winkel: 36°
TimeSinceStartUP: 7397.548s | TimeSinceTaskStart: 74.52148s | Winkel: 30°
TimeSinceStartUP: 7397.661s | TimeSinceTaskStart: 74.63428s | Winkel: 25°
TimeSinceStartUP: 7397.785s | TimeSinceTaskStart: 74.75879s | Winkel: 23°
TimeSinceStartUP: 7397.899s | TimeSinceTaskStart: 74.87256s | Winkel: 21°
TimeSinceStartUP: 7398.011s | TimeSinceTaskStart: 74.98438s | Winkel: 20°
TimeSinceStartUP: 7398.124s | TimeSinceTaskStart: 75.09717s | Winkel: 19°
TimeSinceStartUP: 7398.321s | TimeSinceTaskStart: 75.29492s | Winkel: 18°
TimeSinceStartUP: 7399.208s | TimeSinceTaskStart: 76.18164s | Winkel: 17°
TimeSinceStartUP: 7399.459s | TimeSinceTaskStart: 76.43311s | Winkel: 16°
TimeSinceStartUP: 7399.599s | TimeSinceTaskStart: 76.57227s | Winkel: 14°
TimeSinceStartUP: 7399.711s | TimeSinceTaskStart: 76.68506s | Winkel: 4°
TimeSinceStartUP: 7399.825s | TimeSinceTaskStart: 76.79883s | Winkel: 1°
TimeSinceStartUP: 7399.937s | TimeSinceTaskStart: 76.91016s | Winkel: 0°
TimeSinceStartUP: 7400.06s | TimeSinceTaskStart: 77.0332s | Winkel: 1°
TimeSinceStartUP: 7400.875s | TimeSinceTaskStart: 77.84814s | Winkel: 0°
TimeSinceStartUP: 7408.941s | TimeSinceTaskStart: 85.91455s | Winkel: 4°
TimeSinceStartUP: 7409.053s | TimeSinceTaskStart: 86.02686s | Winkel: 5°
