Aufgaben Daten
=====================================================================
Aufgabe: Aufgabe 2
System start time:  10:02:46
System start date:  15-05-2026
Datum: 15-05-2026
Uhrzeit Aufgaben Abschlus: 10:10:03
Benoetigte Zeit: 381.7994s
Start der Aufgabe nach System Start: 1537.7s
---------------------------------------------------------------------
Heatmap Reloads: 3
Reload Button Zeitpunkte:
Reload Button Press Number0: Triggerd(TimeSinceStartUP): 1553.766s | TimeSinceTaskStart: 16.06592s
Reload Button Press Number1: Triggerd(TimeSinceStartUP): 1555.695s | TimeSinceTaskStart: 17.99426s
Reload Button Press Number2: Triggerd(TimeSinceStartUP): 1557.639s | TimeSinceTaskStart: 19.93872s
---------------------------------------------------------------------
Kamera zurueck zaehler: 0
Camera Back Button Zeitpunkte:
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 1598.184s | TimeSinceTaskStart: 60.48328s | Winkel: 1°
TimeSinceStartUP: 1598.516s | TimeSinceTaskStart: 60.81531s | Winkel: 0°
TimeSinceStartUP: 1598.716s | TimeSinceTaskStart: 61.0155s | Winkel: 1°
TimeSinceStartUP: 1598.851s | TimeSinceTaskStart: 61.15063s | Winkel: 2°
TimeSinceStartUP: 1598.983s | TimeSinceTaskStart: 61.28223s | Winkel: 4°
TimeSinceStartUP: 1599.117s | TimeSinceTaskStart: 61.41626s | Winkel: 5°
TimeSinceStartUP: 1599.25s | TimeSinceTaskStart: 61.54919s | Winkel: 13°
TimeSinceStartUP: 1599.362s | TimeSinceTaskStart: 61.66113s | Winkel: 14°
TimeSinceStartUP: 1599.476s | TimeSinceTaskStart: 61.77539s | Winkel: 19°
TimeSinceStartUP: 1599.589s | TimeSinceTaskStart: 61.88831s | Winkel: 21°
TimeSinceStartUP: 1599.71s | TimeSinceTaskStart: 62.00977s | Winkel: 24°
TimeSinceStartUP: 1599.906s | TimeSinceTaskStart: 62.20532s | Winkel: 27°
TimeSinceStartUP: 1600.018s | TimeSinceTaskStart: 62.31738s | Winkel: 33°
TimeSinceStartUP: 1600.131s | TimeSinceTaskStart: 62.43054s | Winkel: 37°
TimeSinceStartUP: 1600.244s | TimeSinceTaskStart: 62.54321s | Winkel: 40°
TimeSinceStartUP: 1600.355s | TimeSinceTaskStart: 62.65491s | Winkel: 42°
TimeSinceStartUP: 1600.467s | TimeSinceTaskStart: 62.76672s | Winkel: 44°
TimeSinceStartUP: 1600.579s | TimeSinceTaskStart: 62.87878s | Winkel: 47°
TimeSinceStartUP: 1600.691s | TimeSinceTaskStart: 62.99036s | Winkel: 49°
TimeSinceStartUP: 1600.802s | TimeSinceTaskStart: 63.10168s | Winkel: 50°
TimeSinceStartUP: 1600.917s | TimeSinceTaskStart: 63.2168s | Winkel: 49°
TimeSinceStartUP: 1600.934s | TimeSinceTaskStart: 63.23328s | Winkel: 48°
TimeSinceStartUP: 1601.067s | TimeSinceTaskStart: 63.36682s | Winkel: 47°
TimeSinceStartUP: 1601.18s | TimeSinceTaskStart: 63.47937s | Winkel: 36°
TimeSinceStartUP: 1601.293s | TimeSinceTaskStart: 63.59229s | Winkel: 31°
TimeSinceStartUP: 1601.404s | TimeSinceTaskStart: 63.70361s | Winkel: 28°
TimeSinceStartUP: 1601.598s | TimeSinceTaskStart: 63.89709s | Winkel: 26°
TimeSinceStartUP: 1601.711s | TimeSinceTaskStart: 64.01038s | Winkel: 25°
TimeSinceStartUP: 1601.733s | TimeSinceTaskStart: 64.03235s | Winkel: 24°
TimeSinceStartUP: 1601.901s | TimeSinceTaskStart: 64.20068s | Winkel: 23°
TimeSinceStartUP: 1602.053s | TimeSinceTaskStart: 64.35266s | Winkel: 22°
TimeSinceStartUP: 1602.177s | TimeSinceTaskStart: 64.47681s | Winkel: 21°
TimeSinceStartUP: 1602.289s | TimeSinceTaskStart: 64.58862s | Winkel: 20°
TimeSinceStartUP: 1602.435s | TimeSinceTaskStart: 64.73486s | Winkel: 19°
TimeSinceStartUP: 1602.967s | TimeSinceTaskStart: 65.26636s | Winkel: 18°
TimeSinceStartUP: 1603.134s | TimeSinceTaskStart: 65.43323s | Winkel: 17°
TimeSinceStartUP: 1603.485s | TimeSinceTaskStart: 65.78467s | Winkel: 16°
TimeSinceStartUP: 1603.596s | TimeSinceTaskStart: 65.89526s | Winkel: 15°
TimeSinceStartUP: 1603.708s | TimeSinceTaskStart: 66.00757s | Winkel: 14°
TimeSinceStartUP: 1603.833s | TimeSinceTaskStart: 66.13232s | Winkel: 15°
TimeSinceStartUP: 1603.851s | TimeSinceTaskStart: 66.15039s | Winkel: 14°
TimeSinceStartUP: 1603.867s | TimeSinceTaskStart: 66.16638s | Winkel: 15°
TimeSinceStartUP: 1603.983s | TimeSinceTaskStart: 66.28259s | Winkel: 14°
TimeSinceStartUP: 1604.066s | TimeSinceTaskStart: 66.36597s | Winkel: 15°
TimeSinceStartUP: 1604.266s | TimeSinceTaskStart: 66.56604s | Winkel: 14°
TimeSinceStartUP: 1604.383s | TimeSinceTaskStart: 66.68274s | Winkel: 13°
TimeSinceStartUP: 1604.599s | TimeSinceTaskStart: 66.89832s | Winkel: 12°
TimeSinceStartUP: 1605.733s | TimeSinceTaskStart: 68.03284s | Winkel: 13°
TimeSinceStartUP: 1605.883s | TimeSinceTaskStart: 68.18262s | Winkel: 12°
TimeSinceStartUP: 1606.216s | TimeSinceTaskStart: 68.51599s | Winkel: 11°
TimeSinceStartUP: 1606.45s | TimeSinceTaskStart: 68.74939s | Winkel: 10°
TimeSinceStartUP: 1608.485s | TimeSinceTaskStart: 70.78467s | Winkel: 9°
TimeSinceStartUP: 1608.95s | TimeSinceTaskStart: 71.24939s | Winkel: 10°
TimeSinceStartUP: 1609.333s | TimeSinceTaskStart: 71.63245s | Winkel: 9°
TimeSinceStartUP: 1618.266s | TimeSinceTaskStart: 80.56531s | Winkel: 0°
TimeSinceStartUP: 1618.416s | TimeSinceTaskStart: 80.71509s | Winkel: 1°
TimeSinceStartUP: 1618.552s | TimeSinceTaskStart: 80.8512s | Winkel: 4°
TimeSinceStartUP: 1618.666s | TimeSinceTaskStart: 80.96582s | Winkel: 5°
TimeSinceStartUP: 1618.781s | TimeSinceTaskStart: 81.08032s | Winkel: 7°
TimeSinceStartUP: 1618.893s | TimeSinceTaskStart: 81.19299s | Winkel: 8°
TimeSinceStartUP: 1619.017s | TimeSinceTaskStart: 81.31689s | Winkel: 9°
TimeSinceStartUP: 1619.233s | TimeSinceTaskStart: 81.53223s | Winkel: 10°
TimeSinceStartUP: 1619.366s | TimeSinceTaskStart: 81.66528s | Winkel: 11°
TimeSinceStartUP: 1619.5s | TimeSinceTaskStart: 81.79956s | Winkel: 13°
TimeSinceStartUP: 1619.633s | TimeSinceTaskStart: 81.93262s | Winkel: 15°
TimeSinceStartUP: 1619.746s | TimeSinceTaskStart: 82.04565s | Winkel: 16°
TimeSinceStartUP: 1619.766s | TimeSinceTaskStart: 82.06592s | Winkel: 17°
TimeSinceStartUP: 1619.9s | TimeSinceTaskStart: 82.19922s | Winkel: 19°
TimeSinceStartUP: 1620.033s | TimeSinceTaskStart: 82.33228s | Winkel: 22°
TimeSinceStartUP: 1620.183s | TimeSinceTaskStart: 82.48279s | Winkel: 24°
TimeSinceStartUP: 1620.296s | TimeSinceTaskStart: 82.59546s | Winkel: 26°
TimeSinceStartUP: 1620.41s | TimeSinceTaskStart: 82.70935s | Winkel: 27°
TimeSinceStartUP: 1620.521s | TimeSinceTaskStart: 82.82104s | Winkel: 28°
TimeSinceStartUP: 1620.649s | TimeSinceTaskStart: 82.94873s | Winkel: 29°
TimeSinceStartUP: 1620.883s | TimeSinceTaskStart: 83.18213s | Winkel: 28°
TimeSinceStartUP: 1620.916s | TimeSinceTaskStart: 83.21545s | Winkel: 27°
TimeSinceStartUP: 1621.031s | TimeSinceTaskStart: 83.33069s | Winkel: 24°
TimeSinceStartUP: 1621.143s | TimeSinceTaskStart: 83.44226s | Winkel: 19°
TimeSinceStartUP: 1621.255s | TimeSinceTaskStart: 83.55469s | Winkel: 0°
TimeSinceStartUP: 1632.483s | TimeSinceTaskStart: 94.78247s | Winkel: 1°
TimeSinceStartUP: 1632.599s | TimeSinceTaskStart: 94.89856s | Winkel: 2°
TimeSinceStartUP: 1632.717s | TimeSinceTaskStart: 95.01697s | Winkel: 3°
TimeSinceStartUP: 1632.866s | TimeSinceTaskStart: 95.16528s | Winkel: 2°
TimeSinceStartUP: 1633.749s | TimeSinceTaskStart: 96.04858s | Winkel: 0°
TimeSinceStartUP: 1635.032s | TimeSinceTaskStart: 97.33203s | Winkel: 1°
TimeSinceStartUP: 1635.166s | TimeSinceTaskStart: 97.46594s | Winkel: 2°
TimeSinceStartUP: 1635.599s | TimeSinceTaskStart: 97.89856s | Winkel: 3°
TimeSinceStartUP: 1635.733s | TimeSinceTaskStart: 98.03271s | Winkel: 4°
TimeSinceStartUP: 1635.866s | TimeSinceTaskStart: 98.16565s | Winkel: 6°
TimeSinceStartUP: 1636s | TimeSinceTaskStart: 98.29907s | Winkel: 7°
TimeSinceStartUP: 1636.133s | TimeSinceTaskStart: 98.43262s | Winkel: 9°
TimeSinceStartUP: 1636.266s | TimeSinceTaskStart: 98.5658s | Winkel: 11°
TimeSinceStartUP: 1636.4s | TimeSinceTaskStart: 98.69922s | Winkel: 15°
TimeSinceStartUP: 1636.533s | TimeSinceTaskStart: 98.83276s | Winkel: 19°
TimeSinceStartUP: 1636.646s | TimeSinceTaskStart: 98.94531s | Winkel: 20°
TimeSinceStartUP: 1636.759s | TimeSinceTaskStart: 99.05884s | Winkel: 23°
