=====================================================================
Aufgabe: Aufgabe 1
System start time:  12:47:06
System start date:  15-05-2026
Datum: 15-05-2026
Uhrzeit Aufgaben Abschlus: 12:55:41
Benoetigte Zeit: 464.7686s
Start der Aufgabe nach System Start: 11392.86s
---------------------------------------------------------------------
Heatmap Reloads: 2
Reload Button Zeitpunkte:
Reload Button Press Number0: Triggerd(TimeSinceStartUP): 11471.76s | TimeSinceTaskStart: 78.89941s
Reload Button Press Number1: Triggerd(TimeSinceStartUP): 11473.72s | TimeSinceTaskStart: 80.85938s
---------------------------------------------------------------------
Kamera zurueck zaehler: 0
Camera Back Button Zeitpunkte:
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 11430.55s | TimeSinceTaskStart: 37.68457s | Winkel: 1°
TimeSinceStartUP: 11430.67s | TimeSinceTaskStart: 37.80371s | Winkel: 3°
TimeSinceStartUP: 11430.78s | TimeSinceTaskStart: 37.91602s | Winkel: 17°
TimeSinceStartUP: 11430.89s | TimeSinceTaskStart: 38.02539s | Winkel: 31°
TimeSinceStartUP: 11431s | TimeSinceTaskStart: 38.1377s | Winkel: 34°
TimeSinceStartUP: 11431.11s | TimeSinceTaskStart: 38.24707s | Winkel: 35°
TimeSinceStartUP: 11431.22s | TimeSinceTaskStart: 38.3584s | Winkel: 36°
TimeSinceStartUP: 11431.73s | TimeSinceTaskStart: 38.86816s | Winkel: 37°
TimeSinceStartUP: 11431.85s | TimeSinceTaskStart: 38.98926s | Winkel: 39°
TimeSinceStartUP: 11431.96s | TimeSinceTaskStart: 39.10059s | Winkel: 45°
TimeSinceStartUP: 11432.08s | TimeSinceTaskStart: 39.21094s | Winkel: 48°
TimeSinceStartUP: 11432.19s | TimeSinceTaskStart: 39.32324s | Winkel: 49°
TimeSinceStartUP: 11432.88s | TimeSinceTaskStart: 40.01758s | Winkel: 48°
TimeSinceStartUP: 11433.02s | TimeSinceTaskStart: 40.15137s | Winkel: 46°
TimeSinceStartUP: 11433.13s | TimeSinceTaskStart: 40.2627s | Winkel: 45°
TimeSinceStartUP: 11433.24s | TimeSinceTaskStart: 40.37305s | Winkel: 39°
TimeSinceStartUP: 11433.35s | TimeSinceTaskStart: 40.48438s | Winkel: 29°
TimeSinceStartUP: 11433.46s | TimeSinceTaskStart: 40.59277s | Winkel: 26°
TimeSinceStartUP: 11433.57s | TimeSinceTaskStart: 40.70313s | Winkel: 24°
TimeSinceStartUP: 11433.68s | TimeSinceTaskStart: 40.81152s | Winkel: 21°
TimeSinceStartUP: 11433.79s | TimeSinceTaskStart: 40.92188s | Winkel: 19°
TimeSinceStartUP: 11433.9s | TimeSinceTaskStart: 41.03223s | Winkel: 18°
TimeSinceStartUP: 11433.92s | TimeSinceTaskStart: 41.05078s | Winkel: 16°
TimeSinceStartUP: 11434.03s | TimeSinceTaskStart: 41.16699s | Winkel: 14°
TimeSinceStartUP: 11434.15s | TimeSinceTaskStart: 41.28418s | Winkel: 13°
TimeSinceStartUP: 11434.28s | TimeSinceTaskStart: 41.41797s | Winkel: 11°
TimeSinceStartUP: 11434.45s | TimeSinceTaskStart: 41.58398s | Winkel: 12°
TimeSinceStartUP: 11434.6s | TimeSinceTaskStart: 41.73438s | Winkel: 22°
TimeSinceStartUP: 11434.71s | TimeSinceTaskStart: 41.84277s | Winkel: 25°
TimeSinceStartUP: 11434.82s | TimeSinceTaskStart: 41.95313s | Winkel: 31°
TimeSinceStartUP: 11434.93s | TimeSinceTaskStart: 42.06348s | Winkel: 34°
TimeSinceStartUP: 11435.04s | TimeSinceTaskStart: 42.17383s | Winkel: 37°
TimeSinceStartUP: 11435.15s | TimeSinceTaskStart: 42.28418s | Winkel: 40°
TimeSinceStartUP: 11435.26s | TimeSinceTaskStart: 42.39453s | Winkel: 42°
TimeSinceStartUP: 11435.37s | TimeSinceTaskStart: 42.50391s | Winkel: 46°
TimeSinceStartUP: 11435.48s | TimeSinceTaskStart: 42.61426s | Winkel: 50°
TimeSinceStartUP: 11435.59s | TimeSinceTaskStart: 42.72363s | Winkel: 55°
TimeSinceStartUP: 11435.7s | TimeSinceTaskStart: 42.83398s | Winkel: 57°
TimeSinceStartUP: 11435.81s | TimeSinceTaskStart: 42.94336s | Winkel: 59°
TimeSinceStartUP: 11435.92s | TimeSinceTaskStart: 43.05469s | Winkel: 60°
TimeSinceStartUP: 11436.11s | TimeSinceTaskStart: 43.25s | Winkel: 59°
TimeSinceStartUP: 11436.25s | TimeSinceTaskStart: 43.38379s | Winkel: 58°
TimeSinceStartUP: 11436.4s | TimeSinceTaskStart: 43.53418s | Winkel: 56°
TimeSinceStartUP: 11436.53s | TimeSinceTaskStart: 43.66797s | Winkel: 55°
TimeSinceStartUP: 11436.64s | TimeSinceTaskStart: 43.77832s | Winkel: 54°
TimeSinceStartUP: 11436.75s | TimeSinceTaskStart: 43.8877s | Winkel: 53°
TimeSinceStartUP: 11436.86s | TimeSinceTaskStart: 43.99805s | Winkel: 52°
TimeSinceStartUP: 11436.97s | TimeSinceTaskStart: 44.10742s | Winkel: 50°
TimeSinceStartUP: 11437.08s | TimeSinceTaskStart: 44.21777s | Winkel: 49°
TimeSinceStartUP: 11437.19s | TimeSinceTaskStart: 44.32715s | Winkel: 47°
TimeSinceStartUP: 11437.3s | TimeSinceTaskStart: 44.43848s | Winkel: 44°
TimeSinceStartUP: 11437.41s | TimeSinceTaskStart: 44.5498s | Winkel: 42°
